x,P(x),ln(P(x)),ln(x),P(ln(x)),ln(P(ln(x)))
0.1,22106.396911949996,10.003622298651809,-2.3025850929940455,-12868966.312066704,nan
0.11228070175438597,24139.26594415133,10.091595085910447,-2.186753277468924,-11008425.442128958,nan
0.12456140350877194,26036.913177878152,10.167270547739761,-2.0829564837872803,-9524160.34907913,nan
0.1368421052631579,27803.285046669404,10.232909459843922,-1.988927534139004,-8317180.491867633,nan
0.14912280701754388,29442.266819987166,10.290186567840141,-1.9029851043382793,-7320070.6501469845,nan
0.16140350877192983,30957.683018086278,10.340376486986058,-1.8238477837795555,-6485360.111272822,nan
0.1736842105263158,32353.297826884034,10.384471236831729,-1.750516510694006,-5778679.732157989,nan
0.18596491228070178,33632.815512829846,10.423257521504421,-1.6821972667165286,-5174553.7391569,nan
0.19824561403508772,34799.88083777486,10.457369241554831,-1.6182485421162551,-4653713.7555356985,nan
0.2105263157894737,35858.07947384171,10.487324189501896,-1.5581446180465497,-4201329.179187748,nan
0.22280701754385968,36810.93841829412,10.513550319617634,-1.5014492743700045,-3805808.919900079,nan
0.23508771929824565,37661.92640840658,10.53640495354247,-1.4477965608776844,-3457970.400804801,nan
0.2473684210526316,38414.45433633401,10.55618908275816,-1.3968764704504275,-3150451.0058545386,nan
0.2596491228070176,39071.87566398147,10.57315819467721,-1.3484240870644806,-2877283.382984847,nan
0.2719298245614036,39637.486837873745,10.587530586784075,-1.302211243909349,-2633583.8281647395,nan
0.28421052631578947,40114.527704025095,10.599493834568033,-1.2580400255962119,-2415320.1844281056,nan
0.29649122807017547,40506.181922808835,10.609209881515675,-1.2157376459055222,-2219136.6045389483,nan
0.3087719298245615,40815.577383827105,10.616819086148919,-1.175152365790444,-2042219.6046588726,nan
0.32105263157894737,41045.78662078042,10.622443469436838,-1.1361502079871748,-1882194.5209050006,nan
0.33333333333333337,41199.82722633744,10.626189341793326,-1.0986122886681096,-1737044.6381319195,nan
0.3456140350877194,41280.66226700456,10.628149443316591,-1.062432632090607,-1605047.4243407778,nan
0.35789473684210527,41291.20069799562,10.628404698089097,-1.0275163669843794,-1484723.8102544248,nan
0.37017543859649127,41234.29777810153,10.627025659368636,-0.9937782273525292,-1374797.516715212,nan
0.38245614035087727,41112.75548456,10.62407370475736,-0.9611412980395067,-1274162.1928043223,nan
0.39473684210526316,40929.32292792518,10.619602027153807,-0.9295359586241757,-1181854.6778287643,nan
0.40701754385964917,40686.69676693724,10.613656457236852,-0.8988989891622857,-1097033.1030635673,nan
0.41929824561403517,40387.52162339217,10.606276145530746,-0.8691728088970849,-1018958.8470039882,nan
0.43157894736842106,40034.39049701135,10.59749412613735,-0.840304824896233,-946981.5803400651,nan
0.44385964912280707,39629.84518031129,10.587337779548319,-0.8122468721010755,-880526.8045252529,nan
0.45614035087719307,39176.37667347322,10.57582920823978,-0.7849547298130679,-819085.4152548152,nan
0.46842105263157896,38676.425599212795,10.562985535762895,-0.7583877024283463,-762204.9198253278,nan
0.48070175438596496,38132.38261764981,10.548819137593597,-0.7325082544405255,-709482.0127446421,nan
0.49298245614035097,37546.58884117771,10.533337809954682,-0.7072816914948499,-660556.2725914712,nan
0.5052631578947369,36921.33624933348,10.516544881064041,-0.6826758806926498,-615104.7890228637,nan
0.5175438596491229,36258.86810366711,10.498439267706527,-0.658661004488776,-572837.5649904214,nan
0.5298245614035089,35561.37936261131,10.479015478600266,-0.635209343453726,-533493.567890282,nan
0.5421052631578948,34831.01709635142,10.458263564666426,-0.6122950839308503,-496837.3262232012,nan
0.5543859649122808,34069.880901694494,10.436169014954581,-0.5898941472416837,-462655.9866579136,nan
0.5666666666666668,33280.02331693969,10.412712595564097,-0.5679840376059391,-430756.7611495272,nan
0.5789473684210527,32463.450236747372,10.387870127371546,-0.5465437063680699,-400964.70571515016,nan
0.5912280701754387,31622.12132700906,10.361612196653859,-0.525553430476234,-373120.7821913541,nan
0.6035087719298247,30757.950439717024,10.33390379070125,-0.5049947034551974,-347080.1622435333,nan
0.6157894736842106,29872.806027833867,10.304703848138214,-0.48485013736272997,-322710.73941848404,nan
0.6280701754385966,28968.511560162402,10.273964710781486,-0.4651033744278954,-299891.8204060415,nan
0.6403508771929826,28046.84593621508,10.241631460286795,-0.44573900724610416,-278512.9711224862,nan
0.6526315789473685,27109.543901083733,10.207641118340995,-0.4267425065554492,-258472.9969217551,nan
0.6649122807017545,26158.296460309437,10.171921683431982,-0.40810015574616937,-239679.03931911668,nan
0.6771929824561405,25194.751294751855,10.134390969851525,-0.38979899136376484,-222045.77418715655,nan
0.6894736842105263,24220.513175459033,10.094955204969285,-0.37182674895933454,-205494.69854522788,nan
0.7017543859649124,23237.14437853721,10.053507328137973,-0.35417181372061374,-189953.49488333584,nan
0.7140350877192984,22246.165100020375,10.009924917684282,-0.3368231753860007,-175355.463498457,nan
0.7263157894736842,21249.053870739728,9.964067649631456,-0.3197703870032814,-161639.01462337052,nan
0.7385964912280703,20247.247971193796,9.915774160641986,-0.3030035271462143,-148747.21323430972,nan
0.7508771929824563,19242.14384641755,9.864858144541202,-0.2865131652467989,-136627.37036619152,nan
0.7631578947368421,18235.097520852614,9.811103451232462,-0.2702903297399117,-125230.67556925691,nan
0.7754385964912281,17227.425013216558,9.754257870484496,-0.2543264787508976,-114511.8658304716,nan
0.7877192982456142,16220.402751372756,9.694025157901992,-0.2386134730863414,-104428.92687505587,nan
0.8,15215.26798719996,9.630054675531197,-0.2231435513142097,-94942.82327305162,nan
